"ID","band","word","Pos","field"
1,1,"the","a",""
2,1,"of","i",""
3,1,"be","v",""
4,1,"and","c",""
5,1,"a","a",""
6,1,"in","i",""
7,1,"to","t",""
8,1,"to","i",""
9,1,"that","c",""
10,1,"for","i",""
11,1,"have","v",""
12,1,"with","i",""
13,1,"it","p",""
14,1,"on","i",""
15,1,"by","i",""
16,1,"this","d",""
17,1,"or","c",""
18,1,"from","i",""
19,1,"not","x",""
20,1,"their","a",""
21,1,"as","c",""
22,1,"at","i",""
23,1,"as","i",""
24,1,"they","p",""
25,1,"do","v",""
26,1,"but","c",""
27,1,"he","p",""
28,1,"can","v",""
29,1,"we","p",""
30,1,"which","d",""
31,1,"his","a",""
32,1,"you","p",""
33,1,"that","d",""
34,1,"who","p",""
35,1,"these","d",""
36,1,"its","a",""
37,1,"all","d",""
38,1,"other","j",""
39,1,"will","v",""
40,1,"make","v",""
41,1,"more","r",""
42,1,"would","v",""
43,1,"than","c",""
44,1,"one","m",""
45,1,"also","r",""
46,1,"if","c",""
47,1,"use","v",""
48,1,"time","n",""
49,1,"student","n","Edu"
50,1,"year","n",""
51,1,"what","d",""
52,1,"say","v",""
53,1,"some","d",""
54,1,"about","i",""
55,1,"into","i",""
56,1,"there","e",""
57,1,"when","c",""
58,1,"new","j",""
59,1,"between","i",""
60,1,"two","m",""
61,1,"our","a",""
62,1,"study","n",""
63,1,"people","n",""
64,1,"them","p",""
65,1,"see","v",""
66,1,"only","r",""
67,1,"take","v",""
68,1,"many","d",""
69,1,"n't","x",""
70,1,"your","a",""
71,1,"first","m",""
72,1,"group","n",""
73,1,"could","v",""
74,1,"how","r",""
75,1,"those","d",""
76,1,"school","n","Edu"
77,1,"find","v",""
78,1,"so","r",""
79,1,"child","n","Edu"
80,1,"way","n",""
81,1,"system","n",""
82,1,"more","d",""
83,1,"high","j",""
84,1,"up","r",""
85,1,"no","a",""
86,1,"state","n",""
87,1,"through","i",""
88,1,"world","n",""
89,1,"program","n","Edu"
90,1,"social","j",""
91,1,"my","a",""
92,1,"because","c",""
93,1,"one","p",""
94,1,"such","d",""
95,1,"should","v",""
96,1,"she","p",""
97,1,"out","r",""
98,1,"then","r",""
99,1,"go","v",""
100,1,"woman","n",""
101,1,"become","v",""
102,1,"any","d",""
103,1,"life","n",""
104,1,"most","r",""
105,1,"even","r",""
106,1,"her","a",""
107,1,"provide","v",""
108,1,"get","v",""
109,1,"however","r",""
110,1,"each","d",""
111,1,"give","v",""
112,1,"know","v",""
113,1,"come","v",""
114,1,"while","c",""
115,1,"like","i",""
116,1,"during","i",""
117,1,"research","n",""
118,1,"teacher","n","Edu"
119,1,"problem","n",""
120,1,"education","n","Edu"
121,1,"as","r",""
122,1,"American","j",""
123,1,"level","n",""
124,1,"now","r",""
125,1,"work","v",""
126,1,"just","r",""
127,1,"man","n",""
128,1,"need","v",""
129,1,"over","i",""
130,1,"case","n",""
131,1,"political","j",""
132,1,"number","n",""
133,1,"three","m",""
134,1,"community","n","Edu"
135,1,"in","r",""
136,1,"own","d",""
137,1,"after","i",""
138,1,"result","n",""
139,1,"show","v",""
140,1,"government","n",""
141,1,"same","d",""
142,1,"work","n",""
143,1,"large","j",""
144,1,"include","v",""
145,1,"such","i",""
146,1,"day","n",""
147,1,"must","v",""
148,1,"among","i",""
149,1,"great","j",""
150,1,"area","n",""
151,1,"country","n",""
152,1,"most","d",""
153,1,"important","j",""
154,1,"family","n",""
155,1,"different","j",""
156,1,"process","n",""
157,1,"power","n",""
158,1,"part","n",""
159,1,"national","j",""
160,1,"use","n",""
161,1,"service","n",""
162,1,"within","i",""
163,1,"development","n",""
164,1,"data","n",""
165,1,"think","v",""
166,1,"often","r",""
167,1,"information","n",""
168,1,"question","n",""
169,1,"very","r",""
170,1,"issue","n",""
171,1,"another","d",""
172,1,"effect","n",""
173,1,"call","v",""
174,1,"health","n","Med"
175,1,"might","v",""
176,1,"begin","v",""
177,1,"us","p",""
178,1,"change","n",""
179,1,"table","n",""
180,1,"policy","n",""
181,1,"help","v",""
182,1,"although","c",""
183,1,"university","n",""
184,1,"both","d",""
185,1,"model","n",""
186,1,"small","j",""
187,1,"company","n","Fin"
188,1,"experience","n",""
189,1,"good","j",""
190,1,"me","p",""
191,1,"activity","n",""
192,1,"human","j",""
193,1,"member","n",""
194,1,"still","r",""
195,1,"him","p",""
196,1,"history","n",""
197,1,"want","v",""
198,1,"without","i",""
199,1,"create","v",""
200,1,"develop","v",""
201,1,"war","n","His+Law"
202,1,"suggest","v",""
203,1,"economic","j",""
204,1,"seem","v",""
205,1,"well","r",""
206,1,"low","j",""
207,1,"law","n","Law"
208,1,"under","i",""
209,1,"relationship","n",""
210,1,"look","v",""
211,1,"behavior","n","Edu+Soc"
212,1,"much","d",""
213,1,"both","r",""
214,1,"value","n",""
215,1,"public","j",""
216,1,"require","v",""
217,1,"role","n",""
218,1,"against","i",""
219,1,"write","v",""
220,1,"place","n",""
221,1,"far","r",""
222,1,"when","r",""
223,1,"difference","n",""
224,1,"water","n",""
225,1,"early","j",""
226,1,"analysis","n",""
227,1,"few","d",""
228,1,"practice","n",""
229,1,"fact","n",""
230,1,"society","n",""
231,1,"art","n","Hum"
232,1,"several","d",""
233,1,"old","j",""
234,1,"point","n",""
235,1,"thing","n",""
236,1,"right","n",""
237,1,"too","r",""
238,1,"thus","r",""
239,1,"ask","v",""
240,1,"where","c",""
241,1,"control","n",""
242,1,"form","n",""
243,1,"learn","v","Edu"
244,1,"others","n",""
245,1,"consider","v",""
246,1,"report","v",""
247,1,"about","r",""
248,1,"rate","n",""
249,1,"lead","v",""
250,1,"significant","j",""
251,1,"figure","n",""
252,1,"factor","n",""
253,1,"since","c",""
254,1,"interest","n",""
255,1,"allow","v",""
256,1,"follow","v",""
257,1,"culture","n",""
258,1,"force","n",""
259,1,"word","n",""
260,1,"patient","n","Med"
261,1,"here","r",""
262,1,"need","n",""
263,1,"base","v",""
264,1,"every","a",""
265,1,"whether","c",""
266,1,"body","n",""
267,1,"feel","v",""
268,1,"class","n","Edu"
269,1,"including","i",""
270,1,"population","n",""
271,1,"appear","v",""
272,1,"yet","r",""
273,1,"international","j",""
274,1,"age","n",""
275,1,"participant","n","Edu+Soc"
276,1,"hold","v",""
277,1,"before","i",""
278,1,"college","n","Edu"
279,1,"city","n",""
280,1,"music","n","Hum"
281,1,"technology","n",""
282,1,"keep","v",""
283,1,"mean","v",""
284,1,"million","m",""
285,1,"business","n",""
286,1,"tell","v",""
287,1,"local","j",""
288,1,"market","n",""
289,1,"idea","n",""
290,1,"individual","n",""
291,1,"four","m",""
292,1,"effort","n",""
293,1,"leave","v",""
294,1,"center","n",""
295,1,"type","n",""
296,1,"offer","v",""
297,1,"try","v",""
298,1,"describe","v",""
299,1,"person","n",""
300,1,"believe","v",""
301,1,"understand","v",""
302,1,"second","m",""
303,1,"remain","v",""
304,1,"church","n","Rel"
305,1,"indicate","v",""
306,1,"image","n",""
307,1,"least","r",""
308,1,"possible","j",""
309,1,"subject","n",""
310,1,"less","r",""
311,1,"bring","v",""
312,1,"young","j",""
313,1,"science","n",""
314,1,"parent","n","Edu"
315,1,"material","n",""
316,1,"produce","v",""
317,1,"continue","v",""
318,1,"condition","n",""
319,1,"photo","n",""
320,1,"identify","v",""
321,1,"down","r",""
322,1,"end","n",""
323,1,"test","n","Edu+Med"
324,1,"home","n",""
325,1,"knowledge","n",""
326,1,"support","n",""
327,1,"never","r",""
328,1,"field","n",""
329,1,"last","m",""
330,1,"book","n",""
331,1,"live","v",""
332,1,"performance","n",""
333,1,"project","n",""
334,1,"response","n",""
335,1,"toward","i",""
336,1,"approach","n",""
337,1,"support","v",""
338,1,"action","n",""
339,1,"receive","v",""
340,1,"hand","n",""
341,1,"physical","j","Soc"
342,1,"period","n",""
343,1,"organization","n",""
344,1,"black","j",""
345,1,"increase","v",""
346,1,"though","c",""
347,1,"environmental","j",""
348,1,"view","n",""
349,1,"military","j","His"
350,1,"major","j",""
351,1,"put","v",""
