headword,pos,CEFR
'm,be-verb,0
're,be-verb,0
's,be-verb,0
a,determiner,0
a.m.,adverb,0
A.M.,adverb,0
abandon,verb,2
abandoned,adjective,3
ability,noun,1
able,adjective,2
abnormal,adjective,2
abnormally,adverb,3
aboard,adverb,2
abolish,verb,3
aboriginal,adjective,3
aborigine,noun,2
about,adverb,0
about,preposition,0
above,adjective,2
above,adverb,0
above,preposition,0
abroad,adverb,1
abruptly,adverb,3
absence,noun,2
absent,adjective,2
absentee,noun,3
absolute,adjective,2
absolutely,adverb,2
absorb,verb,2
abstract,adjective,2
absurd,adjective,3
abundance,noun,2
abundant,adjective,2
abuse,noun,3
academic,adjective,2
academy,noun,2
accent,noun,2
accept,verb,1
acceptable,adjective,1
acceptance,noun,2
access,noun,2
access,verb,3
accessibility,noun,3
accessible,adjective,2
accessory,noun,2
accident,noun,1
accidental,adjective,2
accidentally,adverb,2
accommodation,noun,3
accompany,verb,2
accomplish,verb,2
according to,preposition,2
accordingly,adverb,3
account,noun,1
account,verb,2
accountant,noun,2
accumulate,verb,3
accuracy,noun,2
accurate,adjective,2
accurately,adverb,2
accusation,noun,3
accuse,verb,2
accustom,verb,2
ache,noun,2
ache,verb,3
achievable,adjective,3
achieve,verb,1
achievement,noun,2
acid,noun,3
acknowledge,verb,2
acknowledgement,noun,2
acknowledgment,noun,2
acquaintance,noun,2
acquire,verb,2
acquisition,noun,3
across,adverb,1
across,preposition,1
act,noun,1
act,verb,2
action,noun,0
active,adjective,2
actively,adverb,3
activity,noun,0
actor,noun,0
actress,noun,2
actual,adjective,3
actually,adverb,1
acute,adjective,3
ad,noun,2
adapt,verb,2
adaptable,adjective,3
add,verb,0
addict,noun,3
addicted,adjective,3
addiction,noun,3
addition,noun,1
additional,adjective,1
additionally,adverb,3
address,noun,0
address,verb,2
addressee,noun,2
adequate,adjective,3
adequately,adverb,3
adjective,noun,1
adjust,verb,1
adjustment,noun,3
administration,noun,2
administrative,adjective,3
admirable,adjective,3
admiration,noun,2
admire,verb,1
admiringly,adverb,3
admission,noun,2
admit,verb,1
admittedly,adverb,3
adopt,verb,2
adopted,adjective,3
adoption,noun,3
adorable,adjective,2
adore,verb,3
adorn,verb,3
adult,adjective,1
adult,noun,1
advance,noun,3
advance,verb,2
advanced,adjective,1
advancement,noun,3
advantage,noun,1
advent,noun,3
adventure,noun,1
adventurous,adjective,3
adverb,noun,2
adverbial,adjective,2
adverse,adjective,3
adversely,adverb,3
adversity,noun,3
